date,open,high,low,close,qty,value,sign,jongchk,rate,jiclose,
20230130,77500,81200,75800,77100,1138773,89020,5,0,0.0,137700,
20230131,77100,80800,76500,80400,978439,77775,2,0,0.0,137700,
20230201,81200,81900,80000,80800,770969,62212,2,0,0.0,137700,
20230202,81100,81600,79500,80500,633973,51044,5,0,0.0,137700,
20230203,80200,82300,79600,81400,698632,56565,2,0,0.0,137700,
20230206,80300,84400,79000,83400,1067542,88596,2,0,0.0,137700,
20230207,84000,85000,82400,83400,775530,64821,3,0,0.0,137700,
20230208,84100,84800,83100,83900,444883,37313,2,0,0.0,137700,
20230209,83800,85600,83500,84600,677743,57518,2,0,0.0,137700,
20230210,83700,89000,83700,87900,1247021,108246,2,0,0.0,137700,
20230213,88200,89300,86900,87500,687968,60440,5,0,0.0,137700,
20230214,87600,90200,87100,89000,775412,68929,2,0,0.0,137700,
20230215,89100,89800,86000,87100,647806,56776,5,0,0.0,137700,
20230216,87000,88900,86100,87700,581021,50816,2,0,0.0,137700,
20230217,86700,89100,85100,88200,463264,40647,2,0,0.0,137700,
20230220,88500,89800,86400,87400,540262,47410,5,0,0.0,137700,
20230221,87100,88500,86500,87800,458648,40210,2,0,0.0,137700,
20230222,87100,91300,86100,86600,1063145,94119,5,0,0.0,137700,
20230223,87000,89400,86200,89000,503174,44348,2,0,0.0,137700,
20230224,89000,92500,88800,92200,959293,87511,2,0,0.0,137700,
20230227,93000,93000,87100,89000,1224091,108666,5,0,0.0,137700,
20230228,89400,91900,88500,90000,691471,62464,2,0,0.0,137700,
20230302,90400,91500,88300,90900,581801,52631,2,0,0.0,137700,
20230303,91200,93900,90700,93700,736845,68565,2,0,0.0,137700,
20230306,94200,97900,94100,96400,727745,70158,2,0,0.0,137700,
20230307,96400,98100,95900,97300,484358,47012,2,0,0.0,137700,
20230308,96100,98500,95600,96300,475960,46036,5,0,0.0,137700,
20230309,96600,97600,95200,97200,478336,46309,2,0,0.0,137700,
20230310,96400,97800,94700,95600,443432,42681,5,0,0.0,137700,
20230313,94600,95900,91700,95600,609113,57305,3,0,0.0,137700,
20230314,96000,97600,94200,95000,602698,57590,5,0,0.0,137700,
20230315,96700,100000,95800,99300,741996,73183,2,0,0.0,137700,
20230316,99300,99700,94000,95800,795177,76527,5,0,0.0,137700,
20230317,96600,99100,94400,95100,827638,79521,5,0,0.0,137700,
20230320,94700,98400,94600,95700,540229,52013,2,0,0.0,137700,
20230321,96800,98000,96400,97400,493406,48041,2,0,0.0,137700,
20230322,97900,97900,88800,90900,2152452,196678,5,0,0.0,137700,
20230323,90900,93300,90000,92100,875835,80906,2,0,0.0,137700,
20230324,92500,93100,90500,91700,547162,50234,5,0,0.0,137700,
20230327,91800,93500,91100,92900,590882,54631,2,0,0.0,137700,
20230328,92500,96700,92500,95300,694025,66014,2,0,0.0,137700,
20230329,95600,95700,93300,94800,385700,36460,5,0,0.0,137700,
20230330,95200,97600,94600,96600,622123,60049,2,0,0.0,137700,
20230331,96300,100000,96200,99200,743242,73474,2,0,0.0,137700,
20230403,99900,103700,99800,102600,647755,66166,2,0,0.0,137700,
20230404,104000,110000,103900,107500,1031591,110806,2,0,0.0,137700,
20230405,108700,114900,108000,112000,1327487,148505,2,0,0.0,137700,
20230406,113000,114000,110900,113200,632957,71271,2,0,0.0,137700,
20230407,112700,112700,108900,110900,630559,69725,5,0,0.0,137700,
20230410,111200,118800,109700,117300,925624,105999,2,0,0.0,137700,
20230411,119600,120100,110100,112500,1247293,141536,5,0,0.0,137700,
20230412,112500,116600,111500,112600,780334,88807,2,0,0.0,137700,
20230413,112600,112900,109700,111800,724967,80778,5,0,0.0,137700,
20230414,111800,112200,106500,107800,1054600,114154,5,0,0.0,137700,
20230417,108600,111200,108500,110300,655707,72262,2,0,0.0,137700,
20230418,110300,110800,107300,108900,569886,62347,5,0,0.0,137700,
20230419,109500,110600,107000,108300,546569,59207,5,0,0.0,137700,
20230420,109100,112200,107000,107700,1056030,115799,5,0,0.0,137700,
20230421,108400,108500,103600,106500,626358,66423,5,0,0.0,137700,
20230424,107900,113700,105400,106300,1725336,189828,5,0,0.0,137700,
20230425,107600,113000,105700,110500,1780880,195813,2,0,0.0,137700,
20230426,111200,111200,101600,107900,1505333,160147,5,0,0.0,137700,
20230427,105400,114500,102600,111000,1995126,217058,2,0,0.0,137700,
20230428,112000,114000,101400,102700,1931998,201665,5,0,0.0,137700,
20230502,102000,109000,101400,107600,1168016,124900,2,0,0.0,137700,
20230503,107300,111300,106400,106900,734506,79864,5,0,0.0,137700,
20230504,106100,107900,103300,105100,578503,60757,5,0,0.0,137700,
20230508,107000,107400,104200,105000,441171,46575,5,0,0.0,137700,
20230509,105800,105800,101600,102000,585009,60054,5,0,0.0,137700,
20230510,103600,105000,102600,103100,431547,44611,2,0,0.0,137700,
20230511,103700,107100,102500,106500,826180,87368,2,0,0.0,137700,
20230512,107100,108100,101700,103000,895265,92621,5,0,0.0,137700,
20230515,103000,104100,101500,103600,386000,39795,2,0,0.0,137700,
20230516,103600,104300,102400,103500,345873,35755,5,0,0.0,137700,
20230517,101000,104400,101000,104100,514464,53098,2,0,0.0,137700,
20230518,104700,106500,103300,103900,532144,55652,5,0,0.0,137700,
20230519,104200,107000,104000,106900,648131,68428,2,0,0.0,137700,
20230522,108800,112800,108600,111000,997093,110142,2,0,0.0,137700,
20230523,112200,112300,108000,110900,624682,68798,5,0,0.0,137700,
20230524,111200,112000,109000,110700,534248,58983,5,0,0.0,137700,
20230525,109500,110400,107400,108000,494665,53809,5,0,0.0,137700,
20230526,109800,110900,105600,106500,656878,70826,5,0,0.0,137700,
20230530,107900,109000,105000,105600,610126,64917,5,0,0.0,137700,
20230531,105600,107800,104100,106100,3344068,354838,2,0,0.0,137700,
20230601,106200,110800,106200,108000,738235,80043,2,0,0.0,137700,
20230602,108800,111200,108000,110800,648474,71296,2,0,0.0,137700,
20230605,111200,112400,108700,109200,373732,41034,5,0,0.0,137700,
20230607,109600,110900,107700,107800,515477,56020,5,0,0.0,137700,
20230608,108300,109400,107300,108200,461623,49975,2,0,0.0,137700,
20230609,108200,108300,107000,107100,421216,45271,5,0,0.0,137700,
20230612,108000,110400,107600,108200,637582,69468,2,0,0.0,137700,
20230613,108700,110400,105700,110000,787538,85601,2,0,0.0,137700,
20230614,110000,111800,109400,110700,557807,61677,2,0,0.0,137700,
20230615,110300,113800,109200,111400,723700,80676,2,0,0.0,137700,
20230616,112300,118000,112200,116800,1148530,132641,2,0,0.0,137700,
20230619,118300,138800,118200,137300,3449870,454454,2,0,0.0,137700,
20230620,137300,144200,135800,142500,2163105,302910,2,0,0.0,137700,
20230621,143900,147400,137900,138800,1579729,223119,5,0,0.0,137700,
20230622,139500,142000,135400,137700,952635,132334,5,0,0.0,137700,
20230623,137400,137500,133300,134400,650699,87591,5,0,0.0,137700,
